City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
140,vao,92,EE,1538269993,100,59.1,26.19,43.39,15.79
141,cockburn town,80,TC,1538269820,97,21.46,-71.14,83.71,17.81
142,nanortalik,92,GL,1538269994,95,60.14,-45.24,37.09,20.15
143,ahipara,48,NZ,1538269965,69,-35.17,173.16,61.57,12.55
144,sri aman,75,MY,1538269200,88,1.24,111.46,78.8,1.12
145,mahebourg,40,MU,1538265600,83,-20.41,57.7,69.8,10.29
146,axim,8,GH,1538269994,99,4.87,-2.24,78.22,10.76
147,narsaq,92,GL,1538268600,51,60.91,-46.05,37.4,4.7
148,kefalos,40,GR,1538268600,88,36.75,26.96,71.6,10.29
149,talmenka,0,RU,1538267400,72,53.82,83.56,44.6,8.95
150,isangel,92,VU,1538269995,100,-19.55,169.27,73.27,21.16
151,teguise,20,ES,1538269200,83,29.06,-13.56,73.4,1.12
152,escanaba,90,US,1538265360,78,45.75,-87.06,42.08,6.17
153,ponta do sol,76,BR,1538269995,71,-20.63,-46.0,72.37,6.4
154,osmena,24,PH,1538269995,100,12.17,124.59,80.11,2.71
155,clyde river,90,CA,1538265600,92,70.47,-68.59,23.0,13.87
156,oxbow,75,CA,1538265600,52,49.23,-102.17,44.6,9.17
157,talara,0,PE,1538269996,73,-4.58,-81.27,71.2,8.41
158,sibu,75,MY,1538269200,83,2.29,111.83,80.6,4.7
159,yelovo,92,RU,1538269996,94,57.05,54.92,40.51,2.71
160,east london,32,ZA,1538269996,100,-33.02,27.91,65.53,22.28
161,dogondoutchi,76,NE,1538269996,87,13.64,4.03,74.35,2.93
162,bambanglipuro,80,ID,1538269996,87,-7.95,110.28,73.99,4.05
163,pinellas park,90,US,1538267700,69,27.84,-82.7,89.06,6.93
164,arraial do cabo,92,BR,1538269711,96,-22.97,-42.02,73.27,12.1
165,babu,24,CN,1538269997,91,23.23,104.89,61.12,3.15
166,kaitangata,44,NZ,1538269997,96,-46.28,169.85,51.04,4.16
167,lasa,0,CY,1538269200,53,34.92,32.53,77.0,5.82
168,lebu,75,ET,1538265600,58,8.96,38.73,57.2,6.93
169,tasiilaq,0,GL,1538268600,51,65.61,-37.64,35.6,6.93
170,tiruvannamalai,0,IN,1538269998,95,12.23,79.08,72.82,4.16
171,wanning,0,AT,1538268600,65,48.64,13.53,44.6,9.17
172,makhachkala,0,RU,1538267400,82,42.98,47.5,57.2,8.95
173,viedma,0,AR,1538269998,56,-40.81,-62.99,57.79,16.02
174,cayenne,0,GF,1538267400,88,4.94,-52.33,78.8,3.36
175,mareeba,20,AU,1538269200,42,-16.99,145.42,82.4,20.8
176,katherine,0,AU,1538269200,21,-14.47,132.26,91.4,14.99
177,pandan,80,PH,1538269999,100,11.72,122.09,80.29,10.65
178,dukat,24,RS,1538269999,82,42.44,22.31,43.66,1.92
179,laguna,40,MX,1538264640,58,27.52,-110.01,87.8,9.17
180,nouadhibou,0,MR,1538269999,83,20.93,-17.03,74.35,13.78
181,tigil,48,RU,1538269999,81,57.8,158.67,45.01,14.45
182,ariguani,76,CO,1538270000,96,10.25,-74.0,70.3,2.15
183,awjilah,88,LY,1538270000,52,29.14,21.3,64.09,2.93
184,kununurra,0,AU,1538269200,43,-15.77,128.74,89.6,11.41
185,indianola,1,US,1538268780,71,40.24,-100.42,56.48,5.82
186,sorong,0,ID,1538270000,100,-0.86,131.25,81.91,11.99
187,sao raimundo das mangabeiras,88,BR,1538270001,22,-7.02,-45.48,94.33,8.63
188,palmas bellas,40,PA,1538265600,88,9.23,-80.09,77.0,5.82
189,port-gentil,92,GA,1538270001,100,-0.72,8.78,77.59,7.07
190,dasoguz,0,TM,1538267400,44,41.84,59.97,57.2,9.17
191,honningsvag,92,NO,1538270001,100,70.98,25.97,39.25,17.58
192,baykit,32,RU,1538270002,94,61.68,96.39,39.52,8.97
193,marawi,0,PH,1538270002,79,8.0,124.29,76.15,3.38
194,vostok,92,RU,1538270002,100,46.45,135.83,50.32,2.71
195,khatanga,8,RU,1538270002,88,71.98,102.47,41.77,13.0
196,grindavik,20,IS,1538267400,80,63.84,-22.43,37.4,10.29
197,vostochnyy,0,RU,1538267400,92,55.82,37.87,32.0,4.47
198,doka,0,SD,1538270003,67,13.52,35.76,71.38,5.06
199,saint-pierre,0,FR,1538269200,86,48.95,4.24,41.0,9.17
200,russell,0,AR,1538265600,63,-33.01,-68.8,64.4,5.82
201,adrar,0,DZ,1538265600,31,27.87,-0.29,73.4,8.05
202,dakar,40,SN,1538265600,94,14.69,-17.45,78.8,4.7
203,borba,0,PT,1538269961,83,38.81,-7.46,61.39,2.93
204,kizukuri,75,JP,1538265600,87,40.81,140.39,60.8,3.36
205,quelimane,48,MZ,1538270004,89,-17.88,36.89,75.25,10.2
206,dehui,75,CN,1538265600,87,44.53,125.71,51.8,4.47
207,geraldton,90,CA,1538265600,69,49.72,-86.95,33.8,5.82
208,new norfolk,20,AU,1538269200,44,-42.78,147.06,60.8,18.34
209,victor harbor,0,AU,1538269200,34,-35.55,138.62,64.4,12.75
210,hamilton,40,CA,1538265600,57,43.26,-79.87,57.2,3.36
211,prince rupert,1,CA,1538269200,25,54.32,-130.32,62.6,9.17
212,san patricio,12,PY,1538270068,56,-26.98,-56.83,83.44,5.73
213,upata,44,VE,1538270006,87,8.02,-62.41,74.8,5.5
214,ha tinh,88,VN,1538270006,100,18.33,105.9,82.72,10.54
215,sangar,0,RU,1538269942,65,63.92,127.47,33.22,2.59
216,valparaiso,90,US,1538268300,58,41.47,-87.06,59.0,5.82
217,vinukonda,36,IN,1538270007,91,16.05,79.74,76.24,4.05
218,north bend,1,US,1538268960,77,43.41,-124.22,60.8,5.82
219,lianyuan,12,CN,1538270008,84,27.69,111.67,63.37,2.37
220,taoudenni,36,ML,1538270008,27,22.68,-3.98,77.59,7.4
221,miechow,0,PL,1538269200,100,50.36,20.03,33.8,1.12
222,greymouth,92,NZ,1538270009,100,-42.45,171.21,52.57,15.46
223,faanui,12,PF,1538270009,100,-16.48,-151.75,77.32,4.5
224,valdivia,90,CL,1538265600,93,-39.81,-73.25,46.4,9.17
225,nago,5,IT,1538268900,93,45.88,10.89,62.6,1.92
226,kargasok,92,RU,1538270009,67,59.06,80.87,52.93,11.65
227,pingliang,92,CN,1538270010,59,35.54,106.68,45.19,2.37
228,kruisfontein,0,ZA,1538270010,81,-34.0,24.73,61.39,18.81
229,pevek,32,RU,1538270010,78,69.7,170.27,50.14,13.11
230,pemberton,0,AU,1538270010,87,-34.44,116.03,55.54,11.99
231,saeby,100,DK,1538270010,100,57.33,10.52,54.73,29.77
232,banda aceh,76,ID,1538270010,100,5.56,95.32,75.07,2.15
233,oriximina,8,BR,1538270011,54,-1.77,-55.87,88.48,5.73
234,thompson,90,CA,1538265600,74,55.74,-97.86,33.8,8.05
235,san francisco,90,US,1538267700,82,37.78,-122.42,73.94,14.99
236,dukhovnitskoye,92,RU,1538270012,100,52.48,48.21,49.87,15.12
237,egvekinot,92,RU,1538270012,99,66.32,-179.17,47.89,8.19
238,tiksi,80,RU,1538269905,95,71.64,128.87,31.42,7.52
239,mantua,40,IT,1538268600,48,45.16,10.79,62.6,6.93
240,matay,0,EG,1538270013,57,28.42,30.79,75.25,9.42
241,eureka,75,US,1538267700,100,40.8,-124.16,62.96,7.07
242,ilulissat,48,GL,1538268600,50,69.22,-51.1,33.8,13.87
243,kidal,56,ML,1538270013,53,18.44,1.41,76.42,2.93
244,mananjary,56,MG,1538270013,94,-19.16,46.8,51.85,3.15
245,lebork,0,PL,1538269200,75,54.54,17.75,42.8,4.7
246,saint albans,1,US,1538268900,91,44.81,-73.08,57.92,8.08
247,takoradi,24,GH,1538270014,99,4.89,-1.75,76.69,6.96
248,comodoro rivadavia,0,AR,1538265600,81,-45.87,-67.48,44.6,4.7
249,aykhal,68,RU,1538269928,90,65.95,111.51,37.72,2.71
250,anadyr,75,RU,1538265600,93,64.73,177.51,50.0,38.03
251,gilgit,20,PK,1538270014,72,35.92,74.31,36.46,0.58
252,spring valley,20,US,1538268960,86,41.11,-74.04,68.0,3.36
253,port hedland,0,AU,1538269200,34,-20.31,118.58,80.6,19.46
254,binzhou,0,CN,1538270015,50,37.38,117.96,55.72,10.42
255,konotop,0,UA,1538270015,94,51.24,33.21,38.71,6.96
256,tumut,0,AU,1538270015,59,-35.3,148.22,52.84,2.59
257,pristen,0,RU,1538267400,100,51.24,36.69,39.2,6.71
258,yenotayevka,36,RU,1538270015,85,47.24,47.04,54.1,7.74
259,sweetwater,1,US,1538268960,65,32.47,-100.41,77.9,5.82
260,haicheng,32,CN,1538270016,100,40.85,122.74,46.99,3.94
261,manakara,36,MG,1538270016,98,-22.14,48.01,67.6,7.74
262,murray bridge,0,AU,1538269756,94,-35.12,139.28,54.19,10.2
263,jalu,80,LY,1538269955,39,29.03,21.55,64.54,2.71
264,sitka,0,US,1538269904,54,37.17,-99.65,77.32,16.58
265,kenora,90,CA,1538267700,65,49.76,-94.48,44.6,9.17
266,anloga,20,GH,1538265600,88,5.79,0.9,78.8,10.29
267,saint-joseph,0,FR,1538269200,67,43.56,6.97,68.0,4.7
268,tooele,1,US,1538268960,23,40.53,-112.3,82.94,17.22
269,soe,92,EE,1538268600,70,57.91,26.05,44.6,16.11
270,tautira,40,PF,1538269200,61,-17.73,-149.15,82.4,11.41
271,katangli,92,RU,1538270017,100,51.71,143.23,46.54,7.96
272,homer,1,US,1538268780,77,59.64,-151.54,55.04,13.87
273,bathsheba,20,BB,1538265600,78,13.22,-59.52,80.6,18.34
274,olinda,40,EC,1538265600,73,-2.03,-79.75,77.0,14.99
275,khandyga,0,RU,1538270018,68,62.65,135.58,33.67,5.61
